time,sum_hh_low_HH,sum_hh_med_HH,sum_hh_high_HH,sum_occ_low_BG,sum_occ_med_BG,sum_occ_high_BG,mean_price_low_BG,mean_price_med_BG,mean_price_high_BG,seed
0,11653,12936,11231,11653,12936,11231,111205.4012714691,207672.31945129676,388660.55563085934,1000.0
1,12278,13246,11729,11962,13374,11917,111772.66727495063,208328.41988323908,391052.3010653437,1000.0
2,12577,13411,12122,12359,13541,12210,112598.24176848924,209928.07879310937,399780.30591261334,1000.0
3,12658,13504,12427,12619,13607,12363,114048.33517260173,211536.9545221134,408297.037190167,1000.0
4,12713,13497,12669,12823,13616,12440,116459.28883771527,213323.65422495568,416137.9696580586,1000.0
5,12774,13492,12930,12981,13662,12553,118285.37412848455,215346.3501554526,427032.2351834821,1000.0
6,12813,13470,13204,13131,13666,12690,120148.72806407993,217375.3150178716,436391.8356485992,1000.0
7,12879,13469,13470,13323,13722,12773,122257.48453599315,219466.4642771271,446336.3896741464,1000.0
8,12958,13463,13718,13510,13754,12875,123943.41981539082,221663.10535401758,457548.1511736948,1000.0
9,12517,13096,13648,13116,13464,12681,126146.75311927148,223790.41322403555,468030.30194129905,1000.0
10,12669,13027,13893,13290,13479,12820,127799.6645873757,225585.52970109042,477734.378726141,1000.0
11,12579,12839,13954,13221,13388,12763,129424.13841853144,227215.5746007691,486104.8105208901,1000.0
12,12706,12891,14215,13369,13515,12928,130709.4993403039,228793.78178940527,495513.7370558313,1000.0
13,12583,12788,14341,13315,13532,12865,132552.38579245564,230455.59106564647,505046.7978046874,1000.0
14,12736,12830,14641,13552,13634,13021,133961.94036252395,231872.9111048,512506.95073827135,1000.0
15,12751,12812,14880,13660,13679,13104,135705.85146922685,233389.9362174337,521447.1296531265,1000.0
16,12572,12698,15063,13592,13643,13098,137255.04534731377,235036.77863923,532097.7659527565,1000.0
17,12718,12748,15343,13747,13755,13307,138631.7352811199,236729.3846975832,541601.714025067,1000.0
18,12697,12664,15547,13768,13710,13430,140335.69753213171,238344.44687436172,551980.3766573763,1000.0
19,12438,12548,15699,13787,13547,13351,141559.25746296908,239916.27135838088,562529.3170542824,1000.0
20,12512,12510,15981,13841,13703,13459,142914.2864134951,241330.58558574456,571675.4936469008,1000.0
21,12723,12564,16363,14031,13963,13656,144338.86601193214,242593.84790531543,580146.521731282,1000.0
22,12909,12650,16703,14237,14139,13886,145793.59724082443,244156.70783294935,588970.708091456,1000.0
23,13068,12792,17057,14415,14345,14157,147388.23116532134,245889.72096583273,597178.2916191685,1000.0
24,13183,12850,17402,14593,14484,14358,148877.7010081289,247815.59426378628,605730.0703444032,1000.0
25,13207,12917,17734,14679,14578,14601,150237.9187625151,250096.6430278004,614897.8278508948,1000.0
26,13297,13025,18138,14863,14725,14872,152076.5232488254,251858.86246935785,622989.2155199815,1000.0
27,13282,13091,18456,15046,14791,14992,153951.058334077,253773.73825305168,632030.9401232032,1000.0
28,13245,13067,18714,15105,14839,15082,156180.2462729997,256009.2983580505,641058.0530413358,1000.0
29,13331,13115,19055,15264,14977,15260,158128.37244811864,257863.2543601774,650314.2815550198,1000.0
30,13423,13197,19456,15476,15111,15489,160057.58798073296,260073.40808060806,659616.2551662409,1000.0
31,13126,13067,19607,15428,15007,15365,162581.24962529453,262252.3565101418,669965.0437705318,1000.0
32,13211,13132,19924,15573,15174,15520,164575.07008184402,263951.2563730813,679669.9366903122,1000.0
33,13315,13202,20269,15674,15373,15739,165857.61515561244,265805.2816421177,689840.492482533,1000.0
